sku,image,color,origin,size,description,color1,color2,color3,error
10227,https://drive.google.com/uc?export=view&id=16ziZFuW1o9ooKWcNgy8a8JWUPWaVovTH,#9c7b63;#94735a;#8c6b5a,,,Color: #9c7b63;#94735a;#8c6b5a,#9c7b63,#94735a,#8c6b5a,
10228,https://drive.google.com/uc?export=view&id=1n6L9BMDGFowRVLHQcZijM5F1x3QkGjlB,#ffffff;#8c7363;#947b6b,,,Color: #ffffff;#8c7363;#947b6b,#ffffff,#8c7363,#947b6b,
10229,https://drive.google.com/uc?export=view&id=12tKFy9nEMnyB7zv_DYpAkysX-_LSuOnO,#845a4a;#846352;#8c6352,,,Color: #845a4a;#846352;#8c6352,#845a4a,#846352,#8c6352,
10230,https://drive.google.com/uc?export=view&id=1HUlZO-68c5JEyjKwFMdsS_bEuOetqWy9,#84634a;#a5845a;#7b5a42,,,Color: #84634a;#a5845a;#7b5a42,#84634a,#a5845a,#7b5a42,
10231,https://drive.google.com/uc?export=view&id=1jgYEX3xgw-DSKRliA7qdKJBje1h6OqCq,#7b5a4a;#7b3a3a;#733a3a,,,Color: #7b5a4a;#7b3a3a;#733a3a,#7b5a4a,#7b3a3a,#733a3a,
10232,https://drive.google.com/uc?export=view&id=16wu_uyusQQ-8NPCmIt3uMImrxHOxCP3Q,#b5946b;#ad8c6b;#ad8c63,,,Color: #b5946b;#ad8c6b;#ad8c63,#b5946b,#ad8c6b,#ad8c63,
10233,,,,,,,,,no-image
10234,,,,,,,,,no-image
10235,https://drive.google.com/uc?export=view&id=1dEN97AX817wwGELGjRJCAUF6S4f-ruuY,#ffffff;#ad9473;#b59c7b,,,Color: #ffffff;#ad9473;#b59c7b,#ffffff,#ad9473,#b59c7b,
10236,https://drive.google.com/uc?export=view&id=1PeuWfSZTe2Fqtf7N4y1pwghUlqa5dCiw,#ffffff;#bd9473;#b58c6b,,,Color: #ffffff;#bd9473;#b58c6b,#ffffff,#bd9473,#b58c6b,
10237,https://drive.google.com/uc?export=view&id=1ByHo_C5bFxOAIafl1vCnT3DljygUgA8W,#9c846b;#947b63;#846352,,,Color: #9c846b;#947b63;#846352,#9c846b,#947b63,#846352,
10238,https://drive.google.com/uc?export=view&id=1pjc3aHzlb9sRsGzHV5uZPSmTZihG8jAM,#63524a;#6b5a52;#7b6b5a,,,Color: #63524a;#6b5a52;#7b6b5a,#63524a,#6b5a52,#7b6b5a,
10239,https://drive.google.com/uc?export=view&id=1krnVyilmzASrVmDWmF-BCtkVAn_f9dQM,#ffffff;#73634a;#635242,,,Color: #ffffff;#73634a;#635242,#ffffff,#73634a,#635242,
10240,,,,,,,,,no-image
10241,https://drive.google.com/uc?export=view&id=1l-ih8Ty5fkUeyem-SIWCpYjn6CUAot7p,#8c6b52;#94735a;#84634a,,,Color: #8c6b52;#94735a;#84634a,#8c6b52,#94735a,#84634a,
10242,https://drive.google.com/uc?export=view&id=1pTT0oQTtEL85xMJBclN8S3nsLxQLAoPf,#8c6b52;#84634a;#846b52,,,Color: #8c6b52;#84634a;#846b52,#8c6b52,#84634a,#846b52,
10243,https://drive.google.com/uc?export=view&id=1wUUyq3Uo_TE3nmTcIArA2kR1lUjBBV3B,#ad8c73;#a58c73;#b5947b,,,Color: #ad8c73;#a58c73;#b5947b,#ad8c73,#a58c73,#b5947b,
10244,,,,,,,,,no-image
10245,https://drive.google.com/uc?export=view&id=1DpDf-DVJlDVUkNPyJ3qva-mjY5rlY0cI,#846b63;#8c736b;#7b635a,,,Color: #846b63;#8c736b;#7b635a,#846b63,#8c736b,#7b635a,
10246,https://drive.google.com/uc?export=view&id=1DL9AhN5owSoRGwB4o2o_DgDwxVxGS_Vu,#8c524a;#945a52;#94524a,,,Color: #8c524a;#945a52;#94524a,#8c524a,#945a52,#94524a,
10247,https://drive.google.com/uc?export=view&id=1FCVKXR2lhcAPHhL8QyYCF9ZEC1HMsdXQ,#7b6b5a;#847363;#736352,,,Color: #7b6b5a;#847363;#736352,#7b6b5a,#847363,#736352,
10248,https://drive.google.com/uc?export=view&id=17KfhDUFtrQe92E49z7jBPMu97ZkmSejD,#947352;#8c7352;#8c6b4a,,,Color: #947352;#8c7352;#8c6b4a,#947352,#8c7352,#8c6b4a,
10249,https://drive.google.com/uc?export=view&id=18iu71o4_nvu_PtuDyQCBXKhwnU05ng8i,#8c7363;#7b6352;#947b6b,,,Color: #8c7363;#7b6352;#947b6b,#8c7363,#7b6352,#947b6b,
10250,https://drive.google.com/uc?export=view&id=1PnRMJf3UXPbDuCbAdXsS57oz5Es7JHVq,#63423a;#5a423a;#6b4a42,,,Color: #63423a;#5a423a;#6b4a42,#63423a,#5a423a,#6b4a42,
10251,https://drive.google.com/uc?export=view&id=1L531js-C0IBr4EqkNrrJKfkmUrhTRlqq,#947b63;#846b5a;#9c846b,,,Color: #947b63;#846b5a;#9c846b,#947b63,#846b5a,#9c846b,
10252,https://drive.google.com/uc?export=view&id=14Rlvb1K0KqUpgPhEs-yO9zvYBPcgrmU2,#ffffff;#735a4a;#9c6b52,,,Color: #ffffff;#735a4a;#9c6b52,#ffffff,#735a4a,#9c6b52,
10253,https://drive.google.com/uc?export=view&id=1dISqXHcs8jWHLX2V-y_9yRigVbwqrsf_,#ffffff;#947b6b;#846b5a,,,Color: #ffffff;#947b6b;#846b5a,#ffffff,#947b6b,#846b5a,
10254,https://drive.google.com/uc?export=view&id=1hYDgSWr5yxFY_6vYXT6TSULRXHf8zYeu,#8c7b63;#8c7b6b;#847363,,,Color: #8c7b63;#8c7b6b;#847363,#8c7b63,#8c7b6b,#847363,
10255,https://drive.google.com/uc?export=view&id=1i6v01DuQe0_jU0exZItraBPFoQkoYJYh,#7b6352;#846b5a;#7b6b5a,,,Color: #7b6352;#846b5a;#7b6b5a,#7b6352,#846b5a,#7b6b5a,
10256,,,,,,,,,no-image
10257,https://drive.google.com/uc?export=view&id=1HkdBW1FrFdirppu_UI-_XCkvY6ktWDSz,#8c6b5a;#947363;#846b5a,,,Color: #8c6b5a;#947363;#846b5a,#8c6b5a,#947363,#846b5a,
10258,https://drive.google.com/uc?export=view&id=1E9pCqXix7ECJeb8XhxFtidfbIiS7qi1X,#ffffff;#9c7b63;#a5846b,,,Color: #ffffff;#9c7b63;#a5846b,#ffffff,#9c7b63,#a5846b,
10259,https://drive.google.com/uc?export=view&id=1ZubifOciWq8WAAX0aQ4lQ55cEXAIuyZW,#a5846b;#ad8c73;#b5947b,,,Color: #a5846b;#ad8c73;#b5947b,#a5846b,#ad8c73,#b5947b,
10260,https://drive.google.com/uc?export=view&id=11mXZ6yBPEjdYCB8NYSnDIju2NhVDdItc,#ad8c6b;#a58463;#b59473,,,Color: #ad8c6b;#a58463;#b59473,#ad8c6b,#a58463,#b59473,
10261,https://drive.google.com/uc?export=view&id=1BbfhekuW5nn1NykPBjJ6KFyCSRkINdtw,#8c7b73;#9c8c7b;#948473,,,Color: #8c7b73;#9c8c7b;#948473,#8c7b73,#9c8c7b,#948473,
10262,https://drive.google.com/uc?export=view&id=10po1iLTN7H88Qbq5yUskUIR9vdotMT_k,#6b4a42;#6b524a;#73524a,,,Color: #6b4a42;#6b524a;#73524a,#6b4a42,#6b524a,#73524a,
10263,https://drive.google.com/uc?export=view&id=1YItBgHgEB4d1pYBRtRCmpoFY3zNIY2QF,#844242;#7b4242;#843a3a,,,Color: #844242;#7b4242;#843a3a,#844242,#7b4242,#843a3a,
10264,,,,,,,,,no-image
10265,https://drive.google.com/uc?export=view&id=1ZuGqcgGB8YEZyaagHlD8pObtweqjwBVH,#845a42;#8c634a;#94634a,,,Color: #845a42;#8c634a;#94634a,#845a42,#8c634a,#94634a,
10266,,,,,,,,,no-image
10267,https://drive.google.com/uc?export=view&id=1cUaeQts8W20E7wlWsvz5apsa_lmHKz1v,#946352;#ad8c6b;#8c5a4a,,,Color: #946352;#ad8c6b;#8c5a4a,#946352,#ad8c6b,#8c5a4a,
10268,,,,,,,,,no-image
10269,https://drive.google.com/uc?export=view&id=16Y7kZO2vQkkz2fEMeIr510KhFDv3-6Bs,#946b52;#9c735a;#8c6b52,,,Color: #946b52;#9c735a;#8c6b52,#946b52,#9c735a,#8c6b52,
10270,https://drive.google.com/uc?export=view&id=1W_Xxlbaf0AGbdSC2X-13eLZhPXkemkrH,#6b4a42;#63423a;#6b3131,,,Color: #6b4a42;#63423a;#6b3131,#6b4a42,#63423a,#6b3131,
10271,https://drive.google.com/uc?export=view&id=1v7RWWMeF0u2cerwJD0UqgojikZBLYbkM,#ad9473;#a58c6b;#b59c7b,,,Color: #ad9473;#a58c6b;#b59c7b,#ad9473,#a58c6b,#b59c7b,
10272,,,,,,,,,no-image
10273,https://drive.google.com/uc?export=view&id=1Drt43HNQGOg9y1ErUBSR8769Am0qWzmh,#9c8c73;#a5947b;#a58c73,,,Color: #9c8c73;#a5947b;#a58c73,#9c8c73,#a5947b,#a58c73,
10274,https://drive.google.com/uc?export=view&id=11ZZOtfAzR0kj15oElglD9z2-HZFys1oi,#947b6b;#8c7363;#8c7b6b,,,Color: #947b6b;#8c7363;#8c7b6b,#947b6b,#8c7363,#8c7b6b,
10275,,,,,,,,,no-image
10276,https://drive.google.com/uc?export=view&id=1OiOcnh-A14q98BwcUnW0QPmiXHbGRhDu,#ad9c8c;#a59484;#9c8c7b,,,Color: #ad9c8c;#a59484;#9c8c7b,#ad9c8c,#a59484,#9c8c7b,
10277,https://drive.google.com/uc?export=view&id=1Dx6Sbh06kbF0RreQC231sxNThosqV6_2,#844242;#8c4a4a;#843a3a,,,Color: #844242;#8c4a4a;#843a3a,#844242,#8c4a4a,#843a3a,
10278,https://drive.google.com/uc?export=view&id=1CT0ln-ZRArEPyCex6bH8sm57Yj6pCL-W,#ad947b;#b59c84;#a58c73,,,Color: #ad947b;#b59c84;#a58c73,#ad947b,#b59c84,#a58c73,
10279,,,,,,,,,no-image
10280,https://drive.google.com/uc?export=view&id=1X9asB6mveaKOl8uTh_8zqLdGcLq6A95X,#9c9c9c;#84736b;#8c7b73,,,Color: #9c9c9c;#84736b;#8c7b73,#9c9c9c,#84736b,#8c7b73,
10281,https://drive.google.com/uc?export=view&id=1zE-d8B1FGzqKnGt04hziWGa2njH1gIA2,#e6e6e6;#efefef;#ffffff,,,Color: #e6e6e6;#efefef;#ffffff,#e6e6e6,#efefef,#ffffff,
10282,,,,,,,,,no-image
10283,https://drive.google.com/uc?export=view&id=1qnBvxgFOUlRHRKCEIjHxaEQ8n8LdyO_X,#b59473;#bd9c7b;#ad8c6b,,,Color: #b59473;#bd9c7b;#ad8c6b,#b59473,#bd9c7b,#ad8c6b,
10284,https://drive.google.com/uc?export=view&id=1ReoIBjCMSGGbQk0oK8D5lrielBn7YNGw,#7b6b5a;#847363;#8c7b6b,,,Color: #7b6b5a;#847363;#8c7b6b,#7b6b5a,#847363,#8c7b6b,
10285,https://drive.google.com/uc?export=view&id=1yW2cj1lWalnPldzDhT78OLHLdtk1logL,#ad8c73;#946b5a;#9c7363,,,Color: #ad8c73;#946b5a;#9c7363,#ad8c73,#946b5a,#9c7363,
10286,https://drive.google.com/uc?export=view&id=1OEdiu7CbhKDpNzZbV9-6E2WvMWOyvlSR,#6b5a4a;#736352;#635242,,,Color: #6b5a4a;#736352;#635242,#6b5a4a,#736352,#635242,
10287,,,,,,,,,no-image
10288,https://drive.google.com/uc?export=view&id=1eSMtu9vvpIV6fnkLHEaVKtGVZ7TbiT-S,#ffffff;#191919;#101019,,,Color: #ffffff;#191919;#101019,#ffffff,#191919,#101019,
10289,,,,,,,,,no-image
10290,https://drive.google.com/uc?export=view&id=1xzD_F2opc2CGOIBmAfl9YjlF-A6V07J9,#8c7b6b;#947b6b;#948473,,,Color: #8c7b6b;#947b6b;#948473,#8c7b6b,#947b6b,#948473,
10291,https://drive.google.com/uc?export=view&id=1FWWVrPuR0VP6JoqzcjtS4CfTAma9suiv,#ffffff;#9c8473;#9c7b6b,,,Color: #ffffff;#9c8473;#9c7b6b,#ffffff,#9c8473,#9c7b6b,
10292,https://drive.google.com/uc?export=view&id=1OIndZfwzwfPsFzXURsnncV4rfCE4aVhn,#ffffff;#7b6b63;#73635a,,,Color: #ffffff;#7b6b63;#73635a,#ffffff,#7b6b63,#73635a,
10293,,,,,,,,,no-image
10294,https://drive.google.com/uc?export=view&id=15CvDZQQUo9khXXJee6Zj1vr6SWJAtx49,#ffffff;#080819;#080810,,,Color: #ffffff;#080819;#080810,#ffffff,#080819,#080810,
10295,https://drive.google.com/uc?export=view&id=1_xOHb-Wq8B5dkPXVRhWUDSP1HMpxauzV,#ffffff;#080819;#080810,,,Color: #ffffff;#080819;#080810,#ffffff,#080819,#080810,
10296,,,,,,,,,no-image
10297,,,,,,,,,no-image
10298,https://drive.google.com/uc?export=view&id=18CsCo14ACLZ_RAoGj1U_5ViGbp2YwSGt,#ffffff;#ce7373;#d67b7b,,,Color: #ffffff;#ce7373;#d67b7b,#ffffff,#ce7373,#d67b7b,
10299,https://drive.google.com/uc?export=view&id=1ja1gm-7RYx2dl2u-RdmglOMWZIp-g79d,#ffffff;#731010;#7b1919,,,Color: #ffffff;#731010;#7b1919,#ffffff,#731010,#7b1919,
10300,,,,,,,,,no-image
10301,https://drive.google.com/uc?export=view&id=1rJi8V2ujsJ1W0txegb9-1p-w1dARGPin,#ffffff;#a5948c;#9c948c,,,Color: #ffffff;#a5948c;#9c948c,#ffffff,#a5948c,#9c948c,
10302,https://drive.google.com/uc?export=view&id=1ZCayhhZlqGIoiCXcIQSS6T39IYMkJAnZ,#ffffff;#94846b;#8c7b63,,,Color: #ffffff;#94846b;#8c7b63,#ffffff,#94846b,#8c7b63,
10303,https://drive.google.com/uc?export=view&id=1v7LO6qCvyynv7UyHZLJW6JuXg0FohVJA,#ffffff;#94846b;#735a5a,,,Color: #ffffff;#94846b;#735a5a,#ffffff,#94846b,#735a5a,
10304,,,,,,,,,no-image
10305,https://drive.google.com/uc?export=view&id=1knrX_fVltlZOUbFWNoKqOPDfG9FVNlB7,#ffffff;#846352;#ad8c73,,,Color: #ffffff;#846352;#ad8c73,#ffffff,#846352,#ad8c73,
10306,https://drive.google.com/uc?export=view&id=1Ni5fvnTeB7F6f8FXm5WcWzbFXs0GDcMB,#ffffff;#b5a594;#ad9c8c,,,Color: #ffffff;#b5a594;#ad9c8c,#ffffff,#b5a594,#ad9c8c,
10307,https://drive.google.com/uc?export=view&id=19Dg0lXrENa2MuZMan6fEufbLQ7QG6UhR,#ffffff;#c5a58c;#bd9c84,,,Color: #ffffff;#c5a58c;#bd9c84,#ffffff,#c5a58c,#bd9c84,
10308,https://drive.google.com/uc?export=view&id=1YYUMWLKV_p7LX9e3Atq1hhHUJu3lnvLs,#ffffff;#9c8473;#ad9484,,,Color: #ffffff;#9c8473;#ad9484,#ffffff,#9c8473,#ad9484,
10309,https://drive.google.com/uc?export=view&id=1XTm0ejD1EbwFWbdyFi2B89mFYAuB0fM9,#ffffff;#947363;#ad8c73,,,Color: #ffffff;#947363;#ad8c73,#ffffff,#947363,#ad8c73,
10310,,,,,,,,,no-image
10311,https://drive.google.com/uc?export=view&id=1dEOoMBLXJzgYqys3pBGg0OqmdK88m27b,#ffffff;#634a42;#6b524a,,,Color: #ffffff;#634a42;#6b524a,#ffffff,#634a42,#6b524a,
10312,,,,,,,,,no-image
10313,https://drive.google.com/uc?export=view&id=1VzhVRsWbWpg-Haxr85uhDs0UCb5qmpf_,#ffffff;#a59484;#a58c7b,,,Color: #ffffff;#a59484;#a58c7b,#ffffff,#a59484,#a58c7b,
10314,https://drive.google.com/uc?export=view&id=1S-gZYHg-rSNElcT1l46_ghORqUAA1ZWB,#ffffff;#a58c7b;#9c8473,,,Color: #ffffff;#a58c7b;#9c8473,#ffffff,#a58c7b,#9c8473,
10315,https://drive.google.com/uc?export=view&id=1P2G_lrnyw8StBrNqP3XsFyMTGmevfY4-,#ffffff;#a58c84;#ad8c84,,,Color: #ffffff;#a58c84;#ad8c84,#ffffff,#a58c84,#ad8c84,
10316,,,,,,,,,no-image
10317,https://drive.google.com/uc?export=view&id=1a-lcPOWjVTyihYHKaF4Vx-13dmbKT1iD,#94735a;#9c7b63;#946b52,,,Color: #94735a;#9c7b63;#946b52,#94735a,#9c7b63,#946b52,
10318,https://drive.google.com/uc?export=view&id=1S0I7mgBiI3SCxBCUcUTJF5GjjVFj9tDe,#ffffff;#8c847b;#94847b,,,Color: #ffffff;#8c847b;#94847b,#ffffff,#8c847b,#94847b,
10319,,,,,,,,,no-image
10320,https://drive.google.com/uc?export=view&id=1MgH4jncC13nuq8p_n8yT_C3gDFsqgsfL,#ffffff;#947b73;#9c8473,,,Color: #ffffff;#947b73;#9c8473,#ffffff,#947b73,#9c8473,
10321,https://drive.google.com/uc?export=view&id=1JWCnPTy_ZFNSE2zPbuLZHLlxPWkB42Ka,#ffffff;#7b6352;#735a4a,,,Color: #ffffff;#7b6352;#735a4a,#ffffff,#7b6352,#735a4a,
10322,,,,,,,,,no-image
10323,https://drive.google.com/uc?export=view&id=11g1mrkhrwGdykTOD8hapFcKepz1KsI8o,#ffffff;#8c6b5a;#846352,,,Color: #ffffff;#8c6b5a;#846352,#ffffff,#8c6b5a,#846352,
10324,,,,,,,,,no-image
10325,https://drive.google.com/uc?export=view&id=1CUsvg0cHowpka2Yupt-fTwSWm8Zy1LgX,#ffffff;#844a4a;#845252,,,Color: #ffffff;#844a4a;#845252,#ffffff,#844a4a,#845252,
10326,,,,,,,,,no-image
10327,https://drive.google.com/uc?export=view&id=1WoQ9JisGs9RihFmwDVbm5J3ZcebJKVGb,#ffffff;#ad8c84;#b58c84,,,Color: #ffffff;#ad8c84;#b58c84,#ffffff,#ad8c84,#b58c84,
10328,https://drive.google.com/uc?export=view&id=1Ni-sFkz1r7nE4QjH4bTcUgZDzZ-YIRUa,#ffffff;#84634a;#9c7b5a,,,Color: #ffffff;#84634a;#9c7b5a,#ffffff,#84634a,#9c7b5a,
10329,https://drive.google.com/uc?export=view&id=1lwpuKHTArxuYwEodswxHzFEQC-F1VJIs,#ffffff;#ad947b;#efe6d6,,,Color: #ffffff;#ad947b;#efe6d6,#ffffff,#ad947b,#efe6d6,
10330,,,,,,,,,no-image
10331,https://drive.google.com/uc?export=view&id=1fcT8S7RjSdjmqA_yYAYwLrd_jFrdVcNP,#ffffff;#843a21;#8c634a,,,Color: #ffffff;#843a21;#8c634a,#ffffff,#843a21,#8c634a,
10332,https://drive.google.com/uc?export=view&id=17dsBf2tjQINSG_taYxFRwW23wdIGNyqR,#ffffff;#845252;#8c5252,,,Color: #ffffff;#845252;#8c5252,#ffffff,#845252,#8c5252,
10333,https://drive.google.com/uc?export=view&id=1CeZYLQjHhGvsdYU_lA9SkCnT3UtCm9RU,#ffffff;#a58473;#8c736b,,,Color: #ffffff;#a58473;#8c736b,#ffffff,#a58473,#8c736b,
10334,,,,,,,,,no-image
10335,,,,,,,,,no-image
10336,,,,,,,,,no-image
10337,,,,,,,,,no-image
10338,,,,,,,,,no-image
10339,,,,,,,,,no-image
10340,https://drive.google.com/uc?export=view&id=14-4mcGSxZqBPZ5lMbHztLb1kttu5gSK9,#ffffff;#8c7b73;#84736b,,,Color: #ffffff;#8c7b73;#84736b,#ffffff,#8c7b73,#84736b,
10341,https://drive.google.com/uc?export=view&id=1WxV5i0jt8ZuMAGeAby7gBt2-5ApdjoHP,#ffffff;#ad8c6b;#7b6352,,,Color: #ffffff;#ad8c6b;#7b6352,#ffffff,#ad8c6b,#7b6352,
10342,https://drive.google.com/uc?export=view&id=1GoU08cQ5NbwO52dC-aQAKpXmUw3Pfjmx,#ffffff;#8c7363;#947b6b,,,Color: #ffffff;#8c7363;#947b6b,#ffffff,#8c7363,#947b6b,
10343,,,,,,,,,no-image
10344,,,,,,,,,no-image
10345,https://drive.google.com/uc?export=view&id=1vGQN2GpdZxRvRMA2RJ4eMUuqG2nwOSxP,#ffffff;#ad847b;#ad8c7b,,,Color: #ffffff;#ad847b;#ad8c7b,#ffffff,#ad847b,#ad8c7b,
10346,https://drive.google.com/uc?export=view&id=1YhS4kJ0IO5SXzFR2W9Pl14AaZrndN_LV,#ffffff;#947363;#8c6b5a,,,Color: #ffffff;#947363;#8c6b5a,#ffffff,#947363,#8c6b5a,
10347,https://drive.google.com/uc?export=view&id=1BBUavBylBG5Ry9Vr_AslkcnL-BnX7QBZ,#ffffff;#a51919;#ad2119,,,Color: #ffffff;#a51919;#ad2119,#ffffff,#a51919,#ad2119,
10348,,,,,,,,,no-image
10349,https://drive.google.com/uc?export=view&id=1PxebpW4zAGOxfu_i_520g98ObS2OcvQg,#ffffff;#9c7363;#946b5a,,,Color: #ffffff;#9c7363;#946b5a,#ffffff,#9c7363,#946b5a,
10350,https://drive.google.com/uc?export=view&id=1eQ-AF0vZOIYJ_WvGSJbo2fiv4uXUJbE4,#ffffff;#ad635a;#ad5a52,,,Color: #ffffff;#ad635a;#ad5a52,#ffffff,#ad635a,#ad5a52,
10351,https://drive.google.com/uc?export=view&id=1xKuGtoUVf4ZEw325lbY3CuTohSIR1MOa,#ffffff;#7b6b63;#84736b,,,Color: #ffffff;#7b6b63;#84736b,#ffffff,#7b6b63,#84736b,
10352,,,,,,,,,no-image
10353,,,,,,,,,no-image
10354,https://drive.google.com/uc?export=view&id=16jBeVOjYFM63bYxlbybfV2HA0c91LpR1,#ffffff;#9c8c84;#94847b,,,Color: #ffffff;#9c8c84;#94847b,#ffffff,#9c8c84,#94847b,
10355,https://drive.google.com/uc?export=view&id=1MlycpiCgWjad79DRQFiC-nAUnWH6sMOQ,#101010;#8c736b;#080808,,,Color: #101010;#8c736b;#080808,#101010,#8c736b,#080808,
10356,https://drive.google.com/uc?export=view&id=1IpKtyt_9ds0bZN2nUjcEY8v15V2vt7bj,#ffffff;#ad8473;#a57b6b,,,Color: #ffffff;#ad8473;#a57b6b,#ffffff,#ad8473,#a57b6b,
10357,https://drive.google.com/uc?export=view&id=18PhhwV-mgyr5dPcEjcL1pFi9RntyS7RD,#ffffff;#94847b;#8c7b73,,,Color: #ffffff;#94847b;#8c7b73,#ffffff,#94847b,#8c7b73,
10358,https://drive.google.com/uc?export=view&id=1h-Zl3jgUvCvLQZ_ioR6grcz8XiBuj6xK,#948473;#9c8c7b;#8c7b6b,,,Color: #948473;#9c8c7b;#8c7b6b,#948473,#9c8c7b,#8c7b6b,
10359,https://drive.google.com/uc?export=view&id=1NosEOG5isnhyBgWe4S5sXoNU8XnVXpnW,#ffffff;#8c6b52;#946b52,,,Color: #ffffff;#8c6b52;#946b52,#ffffff,#8c6b52,#946b52,
10360,,,,,,,,,no-image
10361,,,,,,,,,no-image
10362,,,,,,,,,no-image
10363,https://drive.google.com/uc?export=view&id=18FEHXDlSrxLw778orVlrZQtKrvIURQtg,#ffffff;#ad8c6b;#a58463,,,Color: #ffffff;#ad8c6b;#a58463,#ffffff,#ad8c6b,#a58463,
10364,https://drive.google.com/uc?export=view&id=1k6xlMUliTsQF6Ewm0_xkYsPVWrgcyAdl,#8c7b6b;#947b6b;#846b63,,,Color: #8c7b6b;#947b6b;#846b63,#8c7b6b,#947b6b,#846b63,
10365,,,,,,,,,no-image
10366,,,,,,,,,no-image
10367,https://drive.google.com/uc?export=view&id=1KmOKyxHGaTbfV7tFSCBvq2iHc6upALwr,#ffffff;#8c634a;#845a4a,,,Color: #ffffff;#8c634a;#845a4a,#ffffff,#8c634a,#845a4a,
10368,,,,,,,,,no-image
10369,https://drive.google.com/uc?export=view&id=12ihBoltt3DtWYiCiQah00UyM0U5msozC,#ffffff;#6b5a52;#7b6b5a,,,Color: #ffffff;#6b5a52;#7b6b5a,#ffffff,#6b5a52,#7b6b5a,
10370,https://drive.google.com/uc?export=view&id=1L55kYXJ5CBtlBuSUxm2Kzk5tMkxz70yN,#ffffff;#31423a;#de948c,,,Color: #ffffff;#31423a;#de948c,#ffffff,#31423a,#de948c,
10371,https://drive.google.com/uc?export=view&id=1lZXClqeSoj1kflb7m-5XjtQ_oIgsCUuF,#ffffff;#9c847b;#a58c84,,,Color: #ffffff;#9c847b;#a58c84,#ffffff,#9c847b,#a58c84,
10372,,,,,,,,,no-image
10373,https://drive.google.com/uc?export=view&id=1LzluZ5zcUACuCH9g7Ht2VNiObxQCQGk8,#8c5242;#7b6352;#846b5a,,,Color: #8c5242;#7b6352;#846b5a,#8c5242,#7b6352,#846b5a,
10374,https://drive.google.com/uc?export=view&id=19AcgjTmT6ZqVsU5GPvNoK18s83u8FfOr,#8c6b52;#a57b63;#9c735a,,,Color: #8c6b52;#a57b63;#9c735a,#8c6b52,#a57b63,#9c735a,
10375,https://drive.google.com/uc?export=view&id=1hbQ0_Sxs6NhJ6bjVLqqgiBC0BP_t3l14,#ffffff;#7b5a52;#84635a,,,Color: #ffffff;#7b5a52;#84635a,#ffffff,#7b5a52,#84635a,
10376,https://drive.google.com/uc?export=view&id=16xifs9Ap5BfvO2AnY7UKBCr25HXWpteI,#ffffff;#f7efce;#846b5a,,,Color: #ffffff;#f7efce;#846b5a,#ffffff,#f7efce,#846b5a,
10377,https://drive.google.com/uc?export=view&id=15S5mzGx27kK7rvB3vE-OX0r9VpG7m6rK,#ffffff;#847363;#b59c8c,,,Color: #ffffff;#847363;#b59c8c,#ffffff,#847363,#b59c8c,
10378,https://drive.google.com/uc?export=view&id=1Vs66PV4lSS0V0nvjql9AOHsBxnWjg-j8,#ffffff;#213a5a;#293a5a,,,Color: #ffffff;#213a5a;#293a5a,#ffffff,#213a5a,#293a5a,
10379,https://drive.google.com/uc?export=view&id=12F-u0I_l-Glid0oCoRAaBdL58gLCtxj6,#ffffff;#ad947b;#6b5252,,,Color: #ffffff;#ad947b;#6b5252,#ffffff,#ad947b,#6b5252,
10380,https://drive.google.com/uc?export=view&id=1oMIHRqIhDvvGt2Y9WTQUlofdYgGXC6WK,#ffffff;#947363;#8c6b5a,,,Color: #ffffff;#947363;#8c6b5a,#ffffff,#947363,#8c6b5a,
10381,https://drive.google.com/uc?export=view&id=13BRjVv0W6Ri3kbCPpV6Ri3q1ed1xPOf2,#6b5242;#6b634a;#735a4a,,,Color: #6b5242;#6b634a;#735a4a,#6b5242,#6b634a,#735a4a,
10382,https://drive.google.com/uc?export=view&id=1psl7RGgb_76dQ1VWxAYPO0ft1WigJX6l,#731010;#7b1019;#731019,,,Color: #731010;#7b1019;#731019,#731010,#7b1019,#731019,
10383,https://drive.google.com/uc?export=view&id=1_tEgtHirQHzlEsV0oAy0V_a3hd7YqXIQ,#6b0810;#630810;#5a1919,,,Color: #6b0810;#630810;#5a1919,#6b0810,#630810,#5a1919,
10384,https://drive.google.com/uc?export=view&id=17dPnTAtIfKxpnrzyq8wd2_F75fGnHBgI,#ffffff;#c5b5a5;#bdad9c,,,Color: #ffffff;#c5b5a5;#bdad9c,#ffffff,#c5b5a5,#bdad9c,
10385,https://drive.google.com/uc?export=view&id=10wfD-DBQRMSOWTdSB1NfARILpLRjyC1C,#ffffff;#736b6b;#6b6363,,,Color: #ffffff;#736b6b;#6b6363,#ffffff,#736b6b,#6b6363,
10386,https://drive.google.com/uc?export=view&id=1HHS2f-bA_yq4aipYhgrFI6FKQ3ey4yvC,#b57373;#bd7b7b;#b56b73,,,Color: #b57373;#bd7b7b;#b56b73,#b57373,#bd7b7b,#b56b73,
10387,,,,,,,,,no-image
10388,https://drive.google.com/uc?export=view&id=1PmOQg6BWUaFaWaEnrY79NGvC9acZgvBN,#212929;#7b6b63;#73635a,,,Color: #212929;#7b6b63;#73635a,#212929,#7b6b63,#73635a,
